Начало
BATCH_SIZE: 8, LR: 0.0005, CLIP None
Скорость обучения изменена. LR = 0.000031

Epoch: [65][0/97]	Batch Time 44.419 (44.419)	Data Time 18.876 (18.876)	Loss 1.7210 (1.7210)	
Epoch: [65][10/97]	Batch Time 2.661 (4.857)	Data Time 1.962 (1.895)	Loss 2.5978 (2.2048)	
Epoch: [65][20/97]	Batch Time 0.665 (3.445)	Data Time 0.000 (1.562)	Loss 2.0146 (2.2739)	
Epoch: [65][30/97]	Batch Time 9.555 (3.046)	Data Time 8.891 (1.555)	Loss 2.1144 (2.2734)	
Epoch: [65][40/97]	Batch Time 0.667 (2.669)	Data Time 0.001 (1.379)	Loss 2.5678 (2.2355)	
Epoch: [65][50/97]	Batch Time 4.674 (2.610)	Data Time 4.007 (1.442)	Loss 2.9591 (2.2484)	
Epoch: [65][60/97]	Batch Time 0.668 (2.407)	Data Time 0.000 (1.321)	Loss 2.1718 (2.2463)	
Epoch: [65][70/97]	Batch Time 0.669 (2.328)	Data Time 0.000 (1.299)	Loss 1.8880 (2.2563)	
Epoch: [65][80/97]	Batch Time 0.672 (2.232)	Data Time 0.001 (1.247)	Loss 2.8106 (2.2805)	
Epoch: [65][90/97]	Batch Time 0.664 (2.191)	Data Time 0.000 (1.241)	Loss 2.6123 (2.2857)	
Epoch: [66][0/97]	Batch Time 21.797 (21.797)	Data Time 21.091 (21.091)	Loss 2.5157 (2.5157)	
Epoch: [66][10/97]	Batch Time 0.669 (3.534)	Data Time 0.000 (2.851)	Loss 1.8834 (2.2773)	
Epoch: [66][20/97]	Batch Time 7.595 (3.218)	Data Time 6.869 (2.533)	Loss 2.0261 (2.3032)	
Epoch: [66][30/97]	Batch Time 0.727 (2.767)	Data Time 0.001 (2.060)	Loss 2.1818 (2.3164)	
Epoch: [66][40/97]	Batch Time 0.716 (2.614)	Data Time 0.000 (1.903)	Loss 2.2618 (2.3145)	
Epoch: [66][50/97]	Batch Time 1.862 (2.539)	Data Time 1.150 (1.830)	Loss 2.6808 (2.3310)	
Epoch: [66][60/97]	Batch Time 2.208 (2.392)	Data Time 1.501 (1.682)	Loss 2.2676 (2.3249)	
Epoch: [66][70/97]	Batch Time 9.333 (2.569)	Data Time 8.622 (1.859)	Loss 2.1252 (inf)	
Epoch: [66][80/97]	Batch Time 0.715 (2.444)	Data Time 0.000 (1.733)	Loss 2.4751 (inf)	
Epoch: [66][90/97]	Batch Time 0.720 (2.365)	Data Time 0.000 (1.653)	Loss 2.1583 (inf)	
Epoch: [67][0/97]	Batch Time 24.653 (24.653)	Data Time 23.706 (23.706)	Loss 2.7188 (2.7188)	
Epoch: [67][10/97]	Batch Time 0.668 (4.325)	Data Time 0.001 (3.598)	Loss 2.1058 (2.4353)	
Epoch: [67][20/97]	Batch Time 0.671 (2.978)	Data Time 0.000 (2.278)	Loss 2.6624 (2.3996)	
Epoch: [67][30/97]	Batch Time 0.680 (2.575)	Data Time 0.000 (1.876)	Loss 2.3205 (2.3449)	
Epoch: [67][40/97]	Batch Time 0.676 (2.381)	Data Time 0.001 (1.686)	Loss 2.1561 (2.3206)	
Epoch: [67][50/97]	Batch Time 0.684 (2.279)	Data Time 0.001 (1.580)	Loss 1.8127 (2.3384)	
Epoch: [67][60/97]	Batch Time 0.678 (2.191)	Data Time 0.001 (1.493)	Loss 3.1874 (inf)	
Epoch: [67][70/97]	Batch Time 0.773 (2.244)	Data Time 0.000 (1.541)	Loss 1.8660 (inf)	
Epoch: [67][80/97]	Batch Time 7.310 (2.313)	Data Time 6.617 (1.602)	Loss 2.4216 (inf)	
Epoch: [67][90/97]	Batch Time 0.706 (2.180)	Data Time 0.000 (1.469)	Loss 2.5547 (inf)	
Epoch: [68][0/97]	Batch Time 20.801 (20.801)	Data Time 19.819 (19.819)	Loss 1.7170 (1.7170)	
Epoch: [68][10/97]	Batch Time 0.714 (3.676)	Data Time 0.001 (2.939)	Loss 2.1711 (2.3724)	
Epoch: [68][20/97]	Batch Time 0.730 (2.798)	Data Time 0.000 (2.066)	Loss 1.9916 (2.3061)	
Epoch: [68][30/97]	Batch Time 0.762 (2.450)	Data Time 0.001 (1.713)	Loss 2.6544 (2.3604)	
Epoch: [68][40/97]	Batch Time 0.796 (2.253)	Data Time 0.001 (1.512)	Loss 2.3895 (2.3794)	
Epoch: [68][50/97]	Batch Time 0.738 (2.189)	Data Time 0.000 (1.444)	Loss 2.4477 (2.3859)	
